imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0105399,Seong lung wui,Seong lung wui,1992,1992-01-15,Action,104,Hong Kong,Cantonese,"Ringo Lam, Hark Tsui","Barry Wong, Hark Tsui",Golden Way Films Ltd.,"Jackie Chan, Maggie Cheung, Teddy Robin Kwan, James Wong, Sylvia Chang, Kirk Wong, David Chiang, Mabel Cheung, Alfred Cheung, Lung Wei Wang, Anthony Chan, Nina Li Chi, Chi Leung 'Jacob' Cheung, David Wu, Philip Chan","Identical twins are separated at birth, one becoming a streetwise mechanic, and the other an acclaimed classical concert conductor. Finally meeting in adulthood, they each become mistaken for the other and entangled in each other's world.",6.5,10741,$ 10000000,$ 8359717,$ 8359717,54,59,47
tt0105414,Inserzione pericolosa,Single White Female,1992,1992-08-14,Drama,107,USA,English,Barbet Schroeder,"John Lutz, Don Roos",Columbia Pictures,"Bridget Fonda, Jennifer Jason Leigh, Steven Weber, Peter Friedman, Stephen Tobolowsky, Frances Bay, Michele Farr, Tara Karsian, Christiana D'Amore, Jessica Lundy, Renée Estevez, Tiffany Mataras, Krystle Mataras, Amelia Campbell, Kenneth Tobey",A woman advertising for a new roommate finds that something very strange is going on with the tenant who decides to move in.,6.4,31532,$ 16000000,$ 48017402,$ 48017402,63,108,70
tt0105417,Sister Act: Una svitata in abito da suora,Sister Act,1992,1993-01-28,Comedy,100,USA,English,Emile Ardolino,Paul Rudnick,Touchstone Pictures,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena, Mary Wickes, Harvey Keitel, Bill Nunn, Robert Miranda, Richard Portnow, Ellen Albertini Dow, Carmen Zapata, Pat Crawford Brown, Prudence Wright Holmes, Georgia Creighton, Susan Johnson","When a worldly singer witnesses a mob crime, the police hide her as a nun in a traditional convent where she has trouble fitting in.",6.4,85553,$ 31000000,$ 139605150,$ 231605150,51,136,32
tt0105428,I sonnambuli,Sleepwalkers,1992,1992-04-10,Fantasy,91,USA,English,Mick Garris,Stephen King,Columbia Pictures,"Brian Krause, Mädchen Amick, Alice Krige, Jim Haynie, Cindy Pickett, Ron Perlman, Lyman Ward, Dan Martin, Glenn Shadix, Cynthia Garris, Monty Bane, John Landis, Joe Dante, Stephen King, Clive Barker",A mother-and-son team of strange supernatural creatures move to a small town to seek out a young virgin to feed on.,5.3,19824,$ 15000000,$ 30524763,$ 30524763,38,136,85
tt0105435,I signori della truffa,Sneakers,1992,1993-01-15,Comedy,126,USA,"English, Russian, Chinese",Phil Alden Robinson,"Phil Alden Robinson, Lawrence Lasker",Parkes/Lasker productions,"Jo Marr, Gary Hershberger, Robert Redford, Sidney Poitier, David Strathairn, Dan Aykroyd, River Phoenix, Bodhi Elfman, Denise Dowse, Hanyee, Timothy Busfield, Eddie Jones, Time Winters, Mary McDonnell, Jun Asai","A security pro finds his past coming back to haunt him, when he and his unique team are tasked with retrieving a particularly important item.",7.1,51281,$ 35000000,$ 51432691,$ 105232691,65,128,68
tt0105450,South Central - Zona a rischio,South Central,1992,1992-09-18,Crime,98,USA,English,Stephen Milburn Anderson,"Stephen Milburn Anderson, Donald Bakeer",Enchantment Films Inc.,"Glenn Plummer, Byron Minns, Lexie Bigham, Vincent Craig Dupree, LaRita Shelby, Kevin Best, Big Daddy Wayne, Allan Hatcher, Alvin Hatcher, Baldwin C. Sykes, Rana Kirkland, Diane Manzo, Sal Landi, Christian Coleman, Leonard Boyles",A former gangster fresh out of prison wants to change his life for the better and must save his 10 year old son who has already chosen a gang life.,6.8,4943,$ 4000000,$ 1373196,$ 1373196,64,18,9
tt0105488,Ballroom - Gara di ballo,Strictly Ballroom,1992,1992-08-20,Comedy,94,Australia,"English, Spanish",Baz Luhrmann,"Baz Luhrmann, Baz Luhrmann",Beyond Films,"Paul Mercurio, Tara Morice, Bill Hunter, Pat Thomson, Gia Carides, Peter Whitford, Barry Otto, John Hannan, Sonia Kruger, Kris McQuade, Pip Mushin, Leonie Page, Antonio Vargas, Armonia Benedito, Jack Webster",A maverick dancer risks his career by performing an unusual routine and sets out to succeed with a new partner.,7.2,24576,AUD 3000000,$ 11738022,$ 11738022,72,179,70
tt0105629,Toys - Giocattoli,Toys,1992,1993-05-06,Adventure,118,USA,English,Barry Levinson,"Valerie Curtin, Barry Levinson",Baltimore Pictures,"Robin Williams, Michael Gambon, Joan Cusack, Robin Wright, LL Cool J, Donald O'Connor, Arthur Malet, Jack Warden, Debi Mazar, Wendy Melvoin, Julio Oscar Mechoso, Jamie Foxx, Shelly Desai, Blake Clark, Art Metrano","When Lieutenant General Leland Zevo (Sir Michael Gambon) inherits a toymaking company and begins making war toys, his employees band together to stop him before he ruins the name of Zevo Toys forever.",5.1,30054,$ 43000000,$ 23278931,$ 23278931,40,161,30
tt0105665,Fuoco cammina con me,Twin Peaks: Fire Walk with Me,1992,1993-02-05,Drama,134,France,English,David Lynch,"David Lynch, Robert Engels",New Line Cinema,"Sheryl Lee, Ray Wise, Mädchen Amick, Dana Ashbrook, Phoebe Augustine, David Bowie, Eric DaRe, Miguel Ferrer, Pamela Gidley, Heather Graham, Chris Isaak, Moira Kelly, Peggy Lipton, David Lynch, James Marshall","Laura Palmer's harrowing final days are chronicled one year after the murder of Teresa Banks, a resident of Twin Peaks' neighboring town.",7.3,83877,$ 10000000,$ 4160851,$ 4183547,28,272,131
tt0105690,Trappola in alto mare,Under Siege,1992,1993-02-04,Action,103,France,"English, Italian",Andrew Davis,J.F. Lawton,Warner Bros.,"Steven Seagal, Damian Chapa, Troy Evans, David McKnight, Lee Hinton, Patrick O'Neal, Gary Busey, Glenn Morshower, Leo Alexander, John Rottger, Brad Rea, Michael Welden, Bernie Casey, Rickey Pierre, Raymond Cruz",An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.,6.5,74910,$ 35000000,$ 83563139,$ 156563139,58,201,96
tt0105695,Gli spietati,Unforgiven,1992,1993-02-19,Drama,130,USA,English,Clint Eastwood,David Webb Peoples,Warner Bros.,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett, Saul Rubinek, Frances Fisher, Anna Thomson, David Mucci, Rob Campbell, Anthony James, Tara Frederick, Beverley Elliott, Liisa Repo-Martell, Josie Smith",Retired Old West gunslinger William Munny (,8.2,367365,$ 14400000,$ 101157447,$ 159157447,85,593,128
tt0105698,I nuovi eroi,Universal Soldier,1992,1992-07-10,Action,102,USA,English,Roland Emmerich,"Richard Rothstein, Christopher Leitch",StudioCanal,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker, Ed O'Ross, Jerry Orbach, Leon Rippy, Tico Wells, Ralf Moeller, Robert Trebor, Gene Davis, Drew Snyder, Tommy 'Tiny' Lister, Simon Rhee, Eric Norris, Michael Winther",Two rival soldiers who were killed in Vietnam are brought back to life in a top secret military experiment that creates superhuman warriors.,6,81356,$ 23000000,$ 36299898,$ 36299898,35,157,105
tt0105793,Fusi di testa,Wayne's World,1992,1992-02-14,Comedy,94,USA,"English, Cantonese",Penelope Spheeris,"Mike Myers, Mike Myers",Paramount Pictures,"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere, Brian Doyle-Murray, Lara Flynn Boyle, Michael DeLuise, Dan Bell, Lee Tergesen, Kurt Fuller, Sean Sullivan, Colleen Camp, Donna Dixon, Frederick Coffin, Mike Hagerty",Two slacker friends try to promote their public-access cable show.,7,141353,$ 20000000,$ 121697323,$ 183097323,57,200,76
tt0105824,Wind - più forte del vento,Wind,1992,1993-05-21,Action,126,USA,English,Carroll Ballard,"Jeff Benjamin, Roger Vaughan",American Zoetrope,"Matthew Modine, Jennifer Grey, Cliff Robertson, Jack Thompson, Stellan Skarsgård, Rebecca Miller, Ned Vaughn, Peter Montgomery, Elmer Ahlwardt, Saylor Creswell, James Rebhorn, Michael Higgins, Ron Colbin, Ken Kensei, Bill Buell",Romance and adventure happen during the America's Cup series of yachting races.,6.5,2489,$ 29000000,$ 5519569,$ 5519569,57,40,9
tt0106220,La famiglia Addams 2,Addams Family Values,1993,1994-01-14,Comedy,94,USA,English,Barry Sonnenfeld,"Charles Addams, Paul Rudnick",Paramount Pictures,"Anjelica Huston, Raul Julia, Christopher Lloyd, Joan Cusack, Christina Ricci, Carol Kane, Jimmy Workman, Kaitlyn Hooper, Kristen Hooper, Carel Struycken, David Krumholtz, Christopher Hart, Dana Ivey, Peter MacNicol, Christine Baranski","The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",6.7,77026,$ 47000000,$ 48919043,$ 48919043,62,144,64
tt0106226,L'età dell'innocenza,The Age of Innocence,1993,1993-09-10,Drama,139,USA,"English, Italian",Martin Scorsese,"Edith Wharton, Jay Cocks",Columbia Pictures,"Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Linda Faye Farkas, Michael Rees Davis, Terry Cook, Jon Garrison, Richard E. Grant, Alec McCowen, Geraldine Chaplin, Mary Beth Hurt, Stuart Wilson, Howard Erskine, John McLoughlin, Christopher Nilsson","A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",7.2,50690,$ 34000000,$ 32255440,$ 32255440,90,186,73
